Second,FPS
0,0.029799590438797444
1,0.9009041766205316
2,1.2366124261459976
3,1.4834760744027453
4,1.5848761494447663
5,1.5329605261221335
6,1.524956442097152
7,1.4925988764539044
8,1.5471199320861506
9,1.539016535053009
10,1.5082095101372792
11,1.5338583693200523
12,1.5662755071104182
13,1.579097701015602
14,1.4767970909537507
15,1.5273550029434062
16,1.5849475326579496
17,1.556783475267006
18,1.5124585277445564
19,1.5796229186878268
20,1.5246915262025282
21,1.5538998284985157
