Frame,Latency (ms)
0,7465.277748999142
1,568.9795540001796
2,588.5246860007101
3,727.5151090007057
4,588.2532329997048
5,485.9926279996216
6,486.74153799947817
7,482.62739199981297
8,495.69270699976187
9,487.8363679999893
10,496.04807199921197
11,485.2610960006132
12,484.0364759993463
13,532.9961459992774
14,490.65655099911964
15,496.09729900021193
16,508.83971600069344
17,482.38635300003807
18,478.58668099979695
19,552.2475520001535
20,492.392684999686
21,496.88952899941796
22,468.8726099993801
23,493.6618450001333
24,490.8848909999506
25,490.90537299980497
26,495.9896109994588
27,561.6850699998395
28,495.3476470000169
29,490.62073599998257
30,479.9698670003636
31,492.97192599988193
32,489.2818799999077
33,484.6512829999483
34,498.0599619993882
35,490.8689029998641
36,494.8049449994869
37,493.63880600049015
38,497.0803590003925
39,484.36540800048533
40,491.84003499976825
41,490.7610800000839
42,677.5495279998722
